dataset_type,scenario,scenario_description,replicate,phase,time_min,phase_time_min,probe_concentration_uM,probe_concentration_M,flow_rate_mL_min,assumed_flow_cell_volume_mL,assumed_path_length_cm,assumed_cross_section_area_cm2,residence_time_min,transport_rate_min_inv,kon_M_inv_min_inv,koff_min_inv,kobs_assoc_min_inv,KD_uM,KA_M_inv,damkohler_assoc,damkohler_dissociation,damkohler_regime,baseline_RFU,bulk_flow_component_clean_RFU,binding_component_clean_RFU,fluorescence_clean_RFU,fluorescence_noisy_RFU,normalized_fluorescence_noisy_0_to_1,notes
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,1,association_probe_injection,0,0,200.0,0.00019999999999999998,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,54.965631381270825,0.09704630625673367,0.10803943253298784,1765.5815792157273,566.3856101422404,2.160788650659757,1.9409261251346734,Da>1: interaction/retention dominates over residence time,139.761902316193,0.0,0.0,139.761902316193,137.99640133769796,-0.0026063351305169553,Association model: baseline + bulk flow wash-in + binding buildup with random noise.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,1,association_probe_injection,10,10,200.0,0.00019999999999999998,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,54.965631381270825,0.09704630625673367,0.10803943253298784,1765.5815792157273,566.3856101422404,2.160788650659757,1.9409261251346734,Da>1: interaction/retention dominates over residence time,139.761902316193,236.12738649654014,51.04109740925771,426.93038622199083,414.1955663436352,0.4051349210584563,Association model: baseline + bulk flow wash-in + binding buildup with random noise.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,1,association_probe_injection,20,20,200.0,0.00019999999999999998,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,54.965631381270825,0.09704630625673367,0.10803943253298784,1765.5815792157273,566.3856101422404,2.160788650659757,1.9409261251346734,Da>1: interaction/retention dominates over residence time,139.761902316193,379.3458860045066,68.36759209047155,587.4753804111712,598.2164518609935,0.6767972449624478,Association model: baseline + bulk flow wash-in + binding buildup with random noise.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,1,association_probe_injection,30,30,200.0,0.00019999999999999998,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,54.965631381270825,0.09704630625673367,0.10803943253298784,1765.5815792157273,566.3856101422404,2.160788650659757,1.9409261251346734,Da>1: interaction/retention dominates over residence time,139.761902316193,466.2122969941269,74.24927240645317,680.2234717167731,689.9167977768324,0.8121706239365796,Association model: baseline + bulk flow wash-in + binding buildup with random noise.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,1,association_probe_injection,40,40,200.0,0.00019999999999999998,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,54.965631381270825,0.09704630625673367,0.10803943253298784,1765.5815792157273,566.3856101422404,2.160788650659757,1.9409261251346734,Da>1: interaction/retention dominates over residence time,139.761902316193,518.8994385585302,76.24587725791883,734.9072181326419,713.9686723935224,0.847677398802094,Association model: baseline + bulk flow wash-in + binding buildup with random noise.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,1,association_probe_injection,50,50,200.0,0.00019999999999999998,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,54.965631381270825,0.09704630625673367,0.10803943253298784,1765.5815792157273,566.3856101422404,2.160788650659757,1.9409261251346734,Da>1: interaction/retention dominates over residence time,139.761902316193,550.8558052899605,76.92364801707832,767.5413556232318,723.3328003794315,0.8615012686461858,Association model: baseline + bulk flow wash-in + binding buildup with random noise.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,1,association_probe_injection,60,60,200.0,0.00019999999999999998,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,54.965631381270825,0.09704630625673367,0.10803943253298784,1765.5815792157273,566.3856101422404,2.160788650659757,1.9409261251346734,Da>1: interaction/retention dominates over residence time,139.761902316193,570.2383214855938,77.1537251911543,787.1539489929411,770.5070054941176,0.9311425713371803,Association model: baseline + bulk flow wash-in + binding buildup with random noise.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,1,association_probe_injection,70,70,200.0,0.00019999999999999998,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,54.965631381270825,0.09704630625673367,0.10803943253298784,1765.5815792157273,566.3856101422404,2.160788650659757,1.9409261251346734,Da>1: interaction/retention dominates over residence time,139.761902316193,581.9944118206222,77.23182756620577,798.9881417030209,747.510695675629,0.8971940825613368,Association model: baseline + bulk flow wash-in + binding buildup with random noise.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,1,association_probe_injection,80,80,200.0,0.00019999999999999998,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,54.965631381270825,0.09704630625673367,0.10803943253298784,1765.5815792157273,566.3856101422404,2.160788650659757,1.9409261251346734,Da>1: interaction/retention dominates over residence time,139.761902316193,589.1248410471682,77.25834032660096,806.1450836899621,806.2240694820413,0.9838701765690964,Association model: baseline + bulk flow wash-in + binding buildup with random noise.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,1,association_probe_injection,90,90,200.0,0.00019999999999999998,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,54.965631381270825,0.09704630625673367,0.10803943253298784,1765.5815792157273,566.3856101422404,2.160788650659757,1.9409261251346734,Da>1: interaction/retention dominates over residence time,139.761902316193,593.4496649899794,77.2673403917502,810.4789076979225,853.711806577002,1.0539743333874372,Association model: baseline + bulk flow wash-in + binding buildup with random noise.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,1,association_probe_injection,100,100,200.0,0.00019999999999999998,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,54.965631381270825,0.09704630625673367,0.10803943253298784,1765.5815792157273,566.3856101422404,2.160788650659757,1.9409261251346734,Da>1: interaction/retention dominates over residence time,139.761902316193,596.0728033091536,77.27039556863419,813.1051011939808,786.3434802185194,0.9545212955183112,Association model: baseline + bulk flow wash-in + binding buildup with random noise.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,1,association_probe_injection,110,110,200.0,0.00019999999999999998,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,54.965631381270825,0.09704630625673367,0.10803943253298784,1765.5815792157273,566.3856101422404,2.160788650659757,1.9409261251346734,Da>1: interaction/retention dominates over residence time,139.761902316193,597.6638171243999,77.27143268399254,814.6971521245854,807.3193486485513,0.9854870913169046,Association model: baseline + bulk flow wash-in + binding buildup with random noise.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,1,association_probe_injection,120,120,200.0,0.00019999999999999998,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,54.965631381270825,0.09704630625673367,0.10803943253298784,1765.5815792157273,566.3856101422404,2.160788650659757,1.9409261251346734,Da>1: interaction/retention dominates over residence time,139.761902316193,598.628815783373,77.27178474487393,815.6625028444399,831.1149484438895,1.0206155384000546,Association model: baseline + bulk flow wash-in + binding buildup with random noise.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,1,dissociation_buffer_wash,130,0,0.0,0.0,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,54.965631381270825,0.09704630625673367,0.10803943253298784,1765.5815792157273,566.3856101422404,2.160788650659757,1.9409261251346734,Da>1: interaction/retention dominates over residence time,139.761902316193,598.628815783373,77.27178474487393,815.6625028444399,858.8625231801584,1.061578120524155,Dissociation model: bulk flow component washes out fast; bound component decays by koff.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,1,dissociation_buffer_wash,140,10,0.0,0.0,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,54.965631381270825,0.09704630625673367,0.10803943253298784,1765.5815792157273,566.3856101422404,2.160788650659757,1.9409261251346734,Da>1: interaction/retention dominates over residence time,139.761902316193,363.0867305600818,29.2788618362551,532.1274947125299,526.2885373557812,0.5706130781320451,Dissociation model: bulk flow component washes out fast; bound component decays by koff.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,1,dissociation_buffer_wash,150,20,0.0,0.0,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,54.965631381270825,0.09704630625673367,0.10803943253298784,1765.5815792157273,566.3856101422404,2.160788650659757,1.9409261251346734,Da>1: interaction/retention dominates over residence time,139.761902316193,220.2232342195096,11.093981499934022,371.07911803563667,374.57948430052767,0.3466513588174377,Dissociation model: bulk flow component washes out fast; bound component decays by koff.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,1,dissociation_buffer_wash,160,30,0.0,0.0,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,54.965631381270825,0.09704630625673367,0.10803943253298784,1765.5815792157273,566.3856101422404,2.160788650659757,1.9409261251346734,Da>1: interaction/retention dominates over residence time,139.761902316193,133.57214353520897,4.203593234231415,277.5376390856333,288.998553640155,0.22031181621769216,Dissociation model: bulk flow component washes out fast; bound component decays by koff.
